Dataset                        ;Catch22Classifier  ;FreshPRINCEClassifier ;TSFreshClassifier  ;Model_Dictionary;Modelo_Ensemble;Modelo_Meta-Classifier;Modelo_Meta-Learning;;;;
UWaveGestureLibraryAll         ;0.8280290340591848 ;   0.9637074260189838 ;0.951144611948632  ;0.9539363484087102;0.8140703517587939;0.5843104410943607;0.9595198213288666;;;;
UWaveGestureLibraryX           ;0.7546063651591289 ;   0.8403126744835288 ;0.803461753210497  ;0.794249022892239;0.7319932998324958;0.5787269681742043;0.7822445561139029;;;;
UWaveGestureLibraryY           ;0.6954215522054717 ;   0.768285873813512  ;0.7252931323283082 ;0.7166387493020658;0.7573981016192072;0.5714684533780011;0.6895589056393077;;;;
UWaveGestureLibraryZ           ;0.7024008933556672 ;   0.7858738135120045 ;0.7467895030709101 ;0.7848738135120045;0.9980532121998702;0.5935231714126187;0.7135678391959799;;;;
Wafer                          ;0.9974042829331604 ;   1.0                ;1.0                ;0.9991330304996755;0.7222222222222222;0.9902660609993511;0.9957819597663855;;;;
Wine                           ;0.3888888888888889 ;   0.7962962962962963 ;0.5                ;0.8518518518518519;0.658307210031348;0.5370370370370371;0.6296296296296297;;;;
WordSynonyms                   ;0.5376175548589341 ;   0.6536050156739812 ;0.5877742946708464 ;0.6206896551724138;0.6493506493506493;0.40282131661442006;0.6018808777429467;;;;
Worms                          ;0.7272727272727273 ;   0.8181818181818182 ;0.7662337662337663 ;0.5844155844155844;0.7142857142857143;0.7792207792207793;0.5714285714285714;;;;
WormsTwoClass                  ;0.8571428571428571 ;   0.8311688311688312 ;0.6103896103896104 ;0.7532467532467533;0.8473333333333334;0.8701298701298701;0.6103896103896104;;;;
Yoga                           ;0.784              ;   0.9146666666666666 ;0.9146666666666666 ;0.8396666666666667;0.8473333333333334;0.781;0.8386666666666667;;;;
